   GRB       z  alpha  alpha_err       Ep   Ep_err_low  Ep_err_high  Eiso_51  Eiso_51_err_low Eiso_51_err_high Liso_52  Liso_52_err  DeltaT flag  T_90  T_90_EE  f_NC  f_NC_err_high  f_NC_err_low    Z09_Gold                Note
050202      NaN   0.44       0.32      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  0.270    0.270  0.71          0.270          0.23    0                        NaN
050509B  0.2248   0.00       0.00    82.00    80.00     611.00        0.0024       0.0010          0.0044      0.0007       0.0005    64.0    c  0.073    0.073  0.87          0.040          0.16    1                        NaN
050709   0.1606  -0.53       0.12    83.00    12.00     18.00         0.0330       0.0010          0.0010      0.0500       0.0100     0.0    n  0.070    130.   0.03          0.161           NaN    1                        NaN
050724   0.2570    NaN        NaN    110.0    45.00     400.0         0.09         0.02            0.011       0.01         0.015      NaN  NaN  3.000   96.000   NaN            NaN           NaN    1                        NaN
050813   0.7220   0.28       0.37      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  0.450    0.450  0.57          0.390          0.24    0                uncertain_z
050906      NaN   1.46       0.43      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  0.258    0.258  0.49          0.250          0.20    0                        NaN
050925      NaN    NaN        NaN      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  0.070    0.070  0.92          0.020          0.03    0                        NaN
051105A     NaN   0.22       0.30      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  0.093    0.093  0.85          0.140          0.17    0                        NaN
051210      NaN   0.06       0.28      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  1.300    1.300  0.82          0.100          0.61    0                        NaN
051221A  0.5470  -1.08       0.13   621.49   126.77    126.77         2.6300       0.3300          0.3300      5.8400       0.8900     4.0    c  1.400    1.400  0.18          0.080          0.11    0                        NaN
060121      NaN    NaN        NaN      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  1.970    1.970  0.17          0.140          0.15    0                  1.7<z<4.5
060313      NaN  -0.30       0.07      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  0.740    0.740  0.92          0.050          0.08    0                        NaN
060502B  0.2870  -0.02       0.19      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  0.131    0.131  0.99          0.010          0.16    0                        NaN
060505   0.0890   0.29       0.28      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  4.000    4.000  0.03          0.290          0.02    0                        NaN
060614   0.1250    NaN        NaN    302.0    85.0      214.0          2.4         0.4             0.4000       0.0139        0.001    NaN  NaN  6.000  108.000   NaN            NaN           NaN    1                        NaN
060801   1.1310  -0.53       0.24      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  0.490    0.490  0.95          0.030          0.05    0                uncertain_z
061006   0.4377  -0.62       0.20   640.00   227.00    144.00         2.0000       0.3000          0.3000      1.7800       0.2300     0.0    n  0.500  123.000   NaN            NaN           NaN    1                        NaN
061201   0.1100  -0.19       0.15      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  0.760    0.760  0.92          0.050          0.08    0        alternative_z=0.087
061210   0.4100    NaN        NaN      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  0.192   85.000   NaN            NaN           NaN    0                uncertain_z
061217   0.8270  -0.14       0.30      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  0.210    0.210  0.98          0.010          0.23    0                        NaN
070209      NaN   0.00       0.38      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  0.090    0.090  0.99          0.010          0.13    0                        NaN
070406      NaN   0.38       0.60      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  1.200    1.200  0.23          0.610          0.13    0                        NaN
070429B  0.9040   0.72       0.23      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  0.470    0.470  0.32          0.260          0.15    0                        NaN
070707      NaN    NaN        NaN      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  1.100    1.100  0.84          0.020          0.03    0                        NaN
070714A     NaN   1.60       0.20      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  2.000    2.000  0.04          0.070          0.02    0                        NaN
070714B  0.9200  -0.86       0.10  2150.40  1044.48   1044.48         9.8000       2.3800          2.3800      1.3000       0.1400  1000.0    c  3.000   64.000   NaN            NaN           NaN    0                        NaN
070724A  0.4570   0.81       0.33      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  0.400    0.400  0.37          0.260          0.17    0                        NaN
070729      NaN  -0.04       0.27      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  0.900    0.900  0.89          0.060          0.57    0                        NaN
070809      NaN   0.69       0.22      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  1.300    1.300  0.09          0.130          0.05    0                        NaN
070810B     NaN   0.44       0.37      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  0.080    0.080  0.86          0.130          0.16    0                        NaN
070923      NaN   0.02       0.29      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  0.050    0.050  0.99          0.000          0.11    0                        NaN
071112B     NaN  -0.31       0.34      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  0.300    0.300  0.97          0.010          0.03    0                        NaN
071227   0.3840  -0.01       0.22      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  1.800    1.800  0.71          0.150          0.59    0                        NaN
080121      NaN   1.60       0.80      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  0.700    0.700  0.21          0.230          0.11    0                        NaN
080123   0.4950  -1.20       0.38   104.65    21.50     21.50         0.1300       0.0150          0.0150      0.0170       0.0000   880.0    c  0.800  115.000   NaN            NaN           NaN    0                        NaN
080426      NaN   0.98       0.13      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  1.700    1.700  0.06          0.090          0.03    0                        NaN
080702A     NaN   0.34       0.42      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  0.500    0.500  0.53          0.420          0.23    0                        NaN
080905A  0.1220  -0.13       0.16   578.95    77.42     77.42         0.0320       0.0030          0.0030      0.0120       0.0020    64.0    c  1.000    1.000  0.88          0.070          0.11    0                        NaN
080919      NaN   0.10       0.26      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  0.600    0.600  0.94          0.030          0.47    0                        NaN
081024A     NaN   0.23       0.21      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  1.800    1.800  0.12          0.590          0.08    0                        NaN
081101      NaN    NaN        NaN      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  0.200    0.200  0.85          0.030          0.05    0                        NaN
081226A     NaN   0.36       0.29      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  0.400    0.400  0.60          0.360          0.24    0                        NaN
090305A     NaN  -0.14       0.33      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  0.400    0.400  0.96          0.020          0.36    0                        NaN
090417A     NaN    NaN        NaN      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  0.072    0.072  0.92          0.020          0.03    0                        NaN
090426   2.6090  -1.00       0.00   176.84    72.18     72.18         5.4100       0.6400          0.6400      1.7600       0.2200  1000.0   cl  1.200    1.200  0.10          0.150          0.06    0                        NaN
090510   0.9030  -0.82       0.02  8089.65   593.74    593.74        74.3000       3.2100          3.2100     17.8000       1.1700    64.0    c  0.300    0.300  0.97          0.010          0.29    0                        NaN
090515      NaN    NaN        NaN      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  0.036    0.036  0.94          0.030          0.07    0                        NaN
090621B     NaN  -0.18       0.23      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  0.140    0.140  0.99          0.010          0.01    0                        NaN
090815C     NaN  -0.10       0.47      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  0.600    0.600  0.94          0.030          0.47    0                        NaN
091109B     NaN  -0.29       0.13      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  0.300    0.300  0.97          0.010          0.03    0                        NaN
100117A  0.9200  -0.15       0.21   549.12    84.48     84.48         0.8100       0.1000          0.1000      0.9700       0.1300    64.0    c  0.300    0.300  0.97          0.010          0.03    0                        NaN
100206A  0.4100  -0.37       0.17   639.00   131.00    131.00         0.7360       0.5000          0.5000      0.9900       0.7000     0.0    n  0.120    0.120  0.99          0.010          0.01    0                        NaN
100625A  0.4520  -0.60       0.11   701.32   114.71    114.71         0.7500       0.0300          0.0300      0.3400       0.0100    64.0    c  0.330    0.330  0.97          0.020          0.03    0                        NaN
100628A     NaN    NaN        NaN      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  0.036    0.036  0.94          0.030          0.07    0                        NaN
100702A     NaN   0.54       0.15      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  0.160    0.160  0.80          0.060          0.20    0                        NaN
100724A  1.2880   0.92       0.21      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  1.400    1.400  0.08          0.120          0.04    0                        NaN
100816A  0.8050  -0.31       0.05   247.29     8.48      8.48         7.2700       0.2500          0.2500      0.7200       0.0100  1024.0   cl    NaN      NaN   NaN            NaN           NaN    0                        NaN
101129A     NaN  -0.20       0.50      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  0.350    0.350  0.97          0.020          0.33    0                        NaN
101219A  0.7180  -0.22       0.27   841.82   154.62    154.62         4.8700       0.6800          0.6800      6.5000       1.8600    16.0    c  0.600    0.600  0.94          0.030          0.06    0                        NaN
101224A  0.7200   0.00       0.00   567.60   475.00    475.00         0.3400       0.0700          0.0700      0.2470       0.0400     0.0    n  0.200    0.200  0.85          0.030          0.05    0                        NaN
110112A     NaN   1.14       0.46      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  0.500    0.500  0.30          0.260          0.15    0                        NaN
110420B     NaN    NaN        NaN      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  0.084    0.084  0.91          0.020          0.03    0                        NaN
110717A  0.9200   0.00       0.00   937.00   297.00    297.00         1.8700       0.2300          0.2300      1.8900       0.3000     0.0    n    NaN      NaN   NaN            NaN           NaN    0                        NaN
111020A     NaN   0.37       0.26      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  0.400    0.400  0.60          0.360          0.24    0                        NaN
111117A  2.2210  -0.69       0.16   663.00    70.00     70.00         8.2700       0.9000          0.9000      2.4200       0.2400    50.0    c  0.470    0.470  0.96          0.030          0.05    0                        NaN
111126A     NaN   0.10       0.30      NaN      NaN       NaN            NaN          NaN             NaN         NaN          NaN     NaN  NaN  0.800    0.800  0.91          0.050          0.54    0                        NaN
130603B  0.3560  -0.73       0.15   894.96   135.60    135.60         2.1200       0.2300          0.2300      4.3500       0.8700    16.0    c    NaN      NaN   NaN            NaN           NaN    0                        NaN
140903A  0.3500   0.00       0.00     0.00     0.00      0.00         0.1820       0.0182          0.0182      0.0250       0.0025     0.0    c    NaN      NaN   NaN            NaN           NaN    0                        NaN
150120A  0.4600  -1.43       0.26   190.00   146.00    146.00         0.2100       0.0510          0.0510      0.0238       0.0023     0.0    n    NaN      NaN   NaN            NaN           NaN    0                        NaN
150423A  1.3940   0.00       0.00     0.00     0.00      0.00         0.4600       0.0460          0.0460      0.1400       0.0140     0.0    c    NaN      NaN   NaN            NaN           NaN    0                        NaN
160410A  1.7170  -0.17       0.00  4660.00  1445.00   1445.00        40.0000       4.0000          4.0000      7.5000       0.7500     0.0    c    NaN      NaN   NaN            NaN           NaN    0                        NaN
160624   0.4830  -0.40       0.28  1247.00   531.00    531.00         4.5200       0.4300          0.4300      0.3440       0.0700     0.0    n    NaN      NaN   NaN            NaN           NaN    0                        NaN
160821B  0.1600  -1.37       0.22    97.50    22.00     22.00         0.1200       0.0140          0.0140      0.0054       0.0007     0.0    n    NaN      NaN   NaN            NaN           NaN    0                        NaN
170428A  0.4540  -0.47       0.24  1428.00   573.00    573.00         2.1100       0.4400          0.4400      3.6500       1.1000     0.0    n    NaN      NaN   NaN            NaN           NaN    0                        NaN
